Country,Code,Year,CO2
Gambia,GMB,2021,0.24837817
Georgia,GEO,2021,2.929708
Germany,DEU,2021,8.08974
Ghana,GHA,2021,0.64912677
Greece,GRC,2021,5.390837
Greenland,GRL,2021,9.0758
Grenada,GRD,2021,2.5613847
Guadeloupe,GLP,2021,5.784693
Guatemala,GTM,2021,1.1543926
Guinea,GIN,2021,0.35780457
Guinea-Bissau,GNB,2021,0.17073512
Guyana,GUY,2021,3.837854
Haiti,HTI,2021,0.25122553
High-income countries,,2021,10.148155
Honduras,HND,2021,1.060269
Hong Kong,HKG,2021,4.2249703
Hungary,HUN,2021,4.9902883
Iceland,ISL,2021,9.113199
India,IND,2021,1.9250876
Indonesia,IDN,2021,2.2621746
Iran,IRN,2021,8.517396
Iraq,IRQ,2021,4.262931
Ireland,IRL,2021,7.5283546
Israel,ISR,2021,6.126762
Italy,ITA,2021,5.5483704
Jamaica,JAM,2021,2.7194328
Japan,JPN,2021,8.56574
Jordan,JOR,2021,2.2957532
Kazakhstan,KAZ,2021,14.413248
Kenya,KEN,2021,0.37496784
Kiribati,KIR,2021,0.5550228
Kosovo,OWID_KOS,2021,3.396079
Kuwait,KWT,2021,24.972116
Kyrgyzstan,KGZ,2021,1.4259297
Laos,LAO,2021,2.7982957
Latvia,LVA,2021,3.877535
Lebanon,LBN,2021,4.462823
Lesotho,LSO,2021,1.0003072
Liberia,LBR,2021,0.23014884
Libya,LBY,2021,11.064882
Liechtenstein,LIE,2021,3.8647652
Lithuania,LTU,2021,4.981188
Low-income countries,,2021,0.2874454
Lower-middle-income countries,,2021,1.8474244
Luxembourg,LUX,2021,13.067673
Macao,MAC,2021,1.8740766
Madagascar,MDG,2021,0.146784
Malawi,MWI,2021,0.07803988
Malaysia,MYS,2021,7.626435
Maldives,MDV,2021,4.0619364
Mali,MLI,2021,0.19035652
Malta,MLT,2021,3.273186
Marshall Islands,MHL,2021,3.7781527
Martinique,MTQ,2021,5.6945543
Mauritania,MRT,2021,0.8923355
Mauritius,MUS,2021,3.4426038
Mayotte,MYT,2021,0.86475307
Mexico,MEX,2021,3.2138007
Micronesia (country),FSM,2021,1.4049654
Moldova,MDA,2021,1.8296566
Mongolia,MNG,2021,15.029628
Montenegro,MNE,2021,2.789471
Montserrat,MSR,2021,4.659306
Morocco,MAR,2021,1.9035642
Mozambique,MOZ,2021,0.2230942
Myanmar,MMR,2021,0.67487085
Namibia,NAM,2021,1.5867921
Nauru,NRU,2021,4.7563233
Nepal,NPL,2021,0.47188523
Netherlands,NLD,2021,8.058957
New Caledonia,NCL,2021,19.096947
New Zealand,NZL,2021,6.587057
Nicaragua,NIC,2021,0.7385937
Niger,NER,2021,0.10687553
Nigeria,NGA,2021,0.6419209
Niue,NIU,2021,6.0919776
North America,,2021,10.28275
North America (excl. USA),,2021,4.349751
North Korea,PRK,2021,2.170811
North Macedonia,MKD,2021,3.25748
Norway,NOR,2021,7.5732727
Oceania,,2021,10.017182
Oman,OMN,2021,17.916525
Pakistan,PAK,2021,0.99183357
Palau,PLW,2021,13.210194
Palestine,PSE,2021,0.6023757
Panama,PAN,2021,2.9949045
Papua New Guinea,PNG,2021,0.85528
Paraguay,PRY,2021,1.2793584
Peru,PER,2021,1.669323
Philippines,PHL,2021,1.2668023
Poland,POL,2021,8.577376
Portugal,PRT,2021,3.9647021
Qatar,QAT,2021,35.587307
Reunion,REU,2021,4.2467885
Romania,ROU,2021,4.104127
Russia,RUS,2021,12.09865
Rwanda,RWA,2021,0.13033324
Saint Helena,SHN,2021,2.5396094
Saint Kitts and Nevis,KNA,2021,4.9924207
Saint Lucia,LCA,2021,2.7046583
Saint Pierre and Miquelon,SPM,2021,10.505165
Saint Vincent and the Grenadines,VCT,2021,2.0478244
Samoa,WSM,2021,1.3441752
Sao Tome and Principe,STP,2021,0.5915166
Saudi Arabia,SAU,2021,18.70299
Senegal,SEN,2021,0.8057197
Serbia,SRB,2021,4.2304993
Seychelles,SYC,2021,5.3366547
Sierra Leone,SLE,2021,0.15431175
Singapore,SGP,2021,5.4715614
Sint Maarten (Dutch part),SXM,2021,14.704659
Slovakia,SVK,2021,6.481401
Slovenia,SVN,2021,5.921149
Solomon Islands,SLB,2021,0.44913858
Somalia,SOM,2021,0.035766363
South Africa,ZAF,2021,7.339827
South America,,2021,2.475527
South Korea,KOR,2021,11.886425
South Sudan,SSD,2021,0.14719196
Spain,ESP,2021,4.9202914
Sri Lanka,LKA,2021,0.9544157
Sudan,SDN,2021,0.46078634
Suriname,SUR,2021,4.5566983
Sweden,SWE,2021,3.4249187
Switzerland,CHE,2021,4.019106
Syria,SYR,2021,1.2661933
Taiwan,TWN,2021,11.85487
Tajikistan,TJK,2021,1.060136
Tanzania,TZA,2021,0.20536575
Thailand,THA,2021,3.889545
Togo,TGO,2021,0.27091572
Tonga,TON,2021,1.6490842
Trinidad and Tobago,TTO,2021,23.677477
Tunisia,TUN,2021,2.575461
Turkey,TUR,2021,5.263368
Turkmenistan,TKM,2021,13.0887375
Turks and Caicos Islands,TCA,2021,7.558162
Tuvalu,TUV,2021,0.70781016
Uganda,UGA,2021,0.12606297
Ukraine,UKR,2021,4.6370573
United Arab Emirates,ARE,2021,21.792141
United Kingdom,GBR,2021,5.1540995
United States,USA,2021,14.858668
Upper-middle-income countries,,2021,6.671938
Uruguay,URY,2021,1.9665356
Uzbekistan,UZB,2021,3.5688467
Vanuatu,VUT,2021,0.54789656
Venezuela,VEN,2021,2.8279076
Vietnam,VNM,2021,3.344827
Wallis and Futuna,WLF,2021,2.3869915
World,OWID_WRL,2021,4.693699
Yemen,YEM,2021,0.3782891
Zambia,ZMB,2021,0.39419338
Zimbabwe,ZWE,2021,0.7062929
